image_id,filename,date_candidates_raw
002539,002539.jpg,2021/08/05
002551,002551.jpg,30-09-2021
002557,002557.jpg,2021.11.17
002561,002561.jpg,2022-10-21
002563,002563.jpg,29/08/2021
002574,002574.jpg,2021.12.16
002576,002576.jpg,2020.02.18
002579,002579.jpg,2024.01.14
002584,002584.jpg,04-11-23
002594,002594.jpg,05.08.2022
002600,002600.jpg,2020.10.21
002604,002604.jpg,17/11/23
002607,002607.jpg,2022.04.02
002636,002636.jpg,09.10.2022
002643,002643.jpg,11.2022
002652,002652.jpg,2021.08.18
002654,002654.jpg,2020-12-08 | 2025-11-30
002661,002661.jpg,2021-01-11 | 2022-01-11
002662,002662.jpg,2021-01-11 | 2022-01-11
002663,002663.jpg,2020-08-18 | 2021-08-18
002664,002664.jpg,2020-08-18 | 2021-08-18
002669,002669.jpg,2022.04.18
002683,002683.jpg,03/12/2021
002686,002686.jpg,2021.11.05
002699,002699.jpg,2021.08.23
002705,002705.jpg,07-12-21
002708,002708.jpg,20/01/22
002716,002716.jpg,2021/12/15
002724,002724.jpg,19/12/20
002725,002725.jpg,28 10 21
002727,002727.jpg,17.03.22
002729,002729.jpg,04 NOV 2021
002731,002731.jpg,18/04/2021
002744,002744.jpg,10.01.20 | 10.01.21
002748,002748.jpg,2022.11.12
002749,002749.jpg,12.2020
002751,002751.jpg,21/11/2020 | 20/02/2022
002775,002775.jpg,2021-10-08
002780,002780.jpg,06/04/21
002782,002782.jpg,22/04/2021
002790,002790.jpg,06/12/2021
002798,002798.jpg,2021.04.28
002802,002802.jpg,2021.09.29
002807,002807.jpg,2021.12.29
002812,002812.jpg,2023.01.13
002820,002820.jpg,2021.11.19
002834,002834.jpg,2021.06.30
002838,002838.jpg,02/08/2022
002864,002864.jpg,02/03/2023
002866,002866.jpg,28/02/22
002870,002870.jpg,2021.02.25
002873,002873.jpg,2021.04.07
002876,002876.jpg,2022.12.04
002881,002881.jpg,2020.10.14 | 2021.04.13
002884,002884.jpg,2022.07.20
002900,002900.jpg,2022 08 03
002927,002927.jpg,04.08
002934,002934.jpg,02.02.22
002948,002948.jpg,12.06.2021
002954,002954.jpg,2021.02.28
002974,002974.jpg,21/09/2020 | 15/03/2022
002980,002980.jpg,2021.12 17
002983,002983.jpg,2021.09.14
002992,002992.jpg,2021.02.21
003011,003011.jpg,11 12 2021
003015,003015.jpg,2022.07.01
003020,003020.jpg,2021.03.23
003023,003023.jpg,2021.11.01
003032,003032.jpg,12.04.2021
003036,003036.jpg,28 08 2022
003053,003053.jpg,28/10/2021
003060,003060.jpg,2021.10.04
003067,003067.jpg,21.06.15
003068,003068.jpg,21.06.15
003070,003070.jpg,20.02.10 | 20.08.09
003072,003072.jpg,2021.08.19
003073,003073.jpg,2021.08.25
003083,003083.jpg,21.12.02
003085,003085.jpg,2021.06.27
003089,003089.jpg,15-09-2021
003091,003091.jpg,17-09-2021
003101,003101.jpg,2022.11.21
003113,003113.jpg,2021.03.28
003117,003117.jpg,2021.12.29
003122,003122.jpg,15.09.2020 | 15.09.2021
003134,003134.jpg,2021.10.14
003135,003135.jpg,2021.10.14
003140,003140.jpg,2021.01.13 | 2021.07.12
003142,003142.jpg,2020.12.12 | 2021.12.11
003167,003167.jpg,10.10.21
003170,003170.jpg,20-04-21
003173,003173.jpg,05/2022
003183,003183.jpg,2021.03.26
003188,003188.jpg,2022.01.17
003202,003202.jpg,10/2021
003205,003205.jpg,2023/06/26
003207,003207.jpg,2021.07.20
003208,003208.jpg,2021.07.20
003235,003235.jpg,11/2022
003252,003252.jpg,04/2023
003253,003253.jpg,20 10 2020
003255,003255.jpg,2021.11.05
003260,003260.jpg,2022.07.29
003272,003272.jpg,2021.05.03
003274,003274.jpg,2021/08/20
003276,003276.jpg,04.10
003285,003285.jpg,21.03.07 | 21.08.06
003298,003298.jpg,2021.10.21
003302,003302.jpg,2023.02.06
003309,003309.jpg,AUG292020
003321,003321.jpg,2021.09.01
003339,003339.jpg,24/01/2022
003342,003342.jpg,30 12 23
003343,003343.jpg,30 12 23
003348,3348.jpeg,13/07/25 | 13/07/27
